GAME_DATE,TEAM_NAME,MATCHUP,WL,PTS
2021-08-12,,HCG @ SGC,W,83
2021-08-12,Boston Celtics,BOS vs. ORL,W,108
2021-08-12,Denver Nuggets,DEN vs. PHX,L,84
2021-08-12,,SGC vs. HCG,L,81
2021-08-12,Washington Wizards,WAS @ BKN,L,81
2021-08-12,,CLG @ CCG,W,79
2021-08-12,,BCG vs. HVG,W,82
2021-08-12,Philadelphia 76ers,PHI @ ATL,W,96
2021-08-12,Houston Rockets,HOU @ TOR,L,76
2021-08-12,Atlanta Hawks,ATL vs. PHI,L,88
2021-08-12,,LKG vs. TWG,L,73
2021-08-12,Minnesota Timberwolves,MIN vs. CHI,W,78
2021-08-12,,TWG @ LKG,W,96
2021-08-12,Charlotte Hornets,CHA vs. SAS,L,105
2021-08-12,Chicago Bulls,CHI @ MIN,L,59
2021-08-12,,LKG vs. TWG,L,61
2021-08-12,,HVG @ BCG,W,95
2021-08-12,,TWG @ LKG,W,80
2021-08-12,,CCG vs. CLG,L,81
2021-08-12,Toronto Raptors,TOR vs. HOU,W,92
2021-08-12,Indiana Pacers,IND @ POR,W,97
2021-08-12,,BCG vs. HVG,L,73
2021-08-12,,HCG @ SGC,L,74
2021-08-11,Dallas Mavericks,DAL vs. UTA,L,80
2021-08-11,Oklahoma City Thunder,OKC @ NOP,L,65
2021-08-11,Cleveland Cavaliers,CLE @ ORL,W,94
2021-08-11,Orlando Magic,ORL vs. CLE,L,84
2021-08-11,,WDG vs. SGC,W,70
2021-08-11,Los Angeles Lakers,LAL vs. NYK,L,82
2021-08-11,,RUG @ GZG,L,75
2021-08-11,Toronto Raptors,TOR @ GSW,L,84
2021-08-11,,HCG @ MGG,W,75
2021-08-11,,HVG @ CCG,L,68
2021-08-11,Memphis Grizzlies,MEM vs. MIA,L,94
2021-08-11,,HCG @ MGG,L,57
2021-08-11,,GZG vs. RUG,W,75
2021-08-11,,MGG vs. HCG,L,61
2021-08-11,Brooklyn Nets,BKN vs. MIL,W,97
2021-08-11,Miami Heat,MIA @ MEM,W,97
2021-08-11,,SGC @ WDG,L,56
2021-08-11,,RUG @ GZG,L,66
2021-08-11,Golden State Warriors,GSW vs. TOR,W,90
2021-08-11,,SGC @ WDG,W,74
2021-08-11,,CCG vs. HVG,L,52
2021-08-11,,MGG vs. HCG,W,67
2021-08-11,,CCG vs. HVG,W,77
2021-08-11,Milwaukee Bucks,MIL @ BKN,L,91
2021-08-11,,WDG vs. SGC,L,67
2021-08-11,,GZG vs. RUG,W,88
2021-08-11,,HVG @ CCG,W,84
2021-08-11,Utah Jazz,UTA @ DAL,W,81
2021-08-11,New Orleans Pelicans,NOP vs. OKC,W,80
2021-08-11,New York Knicks,NYK @ LAL,W,91
2021-08-10,Chicago Bulls,CHI @ SAS,W,92
2021-08-10,Portland Trail Blazers,POR vs. LAC,W,86
2021-08-10,Detroit Pistons,DET @ HOU,L,91
2021-08-10,Atlanta Hawks,ATL @ IND,W,84
2021-08-10,Denver Nuggets,DEN vs. BOS,L,82
2021-08-10,Houston Rockets,HOU vs. DET,W,111
2021-08-10,Sacramento Kings,SAC @ WAS,W,89
2021-08-10,LA Clippers,LAC @ POR,L,66
2021-08-10,Boston Celtics,BOS @ DEN,W,107
2021-08-10,Washington Wizards,WAS vs. SAC,,0
2021-08-10,Washington Wizards,WAS vs. SAC,L,75
2021-08-10,San Antonio Spurs,SAS vs. CHI,L,89
2021-08-10,Indiana Pacers,IND vs. ATL,L,83
2021-08-09,Dallas Mavericks,DAL @ PHI,L,73
2021-08-09,Minnesota Timberwolves,MIN vs. SAS,W,91
2021-08-09,Milwaukee Bucks,MIL vs. LAC,W,81
2021-08-09,LA Clippers,LAC @ MIL,L,78
2021-08-09,New Orleans Pelicans,NOP @ CHI,W,94
2021-08-09,Phoenix Suns,PHX @ UTA,L,57
2021-08-09,San Antonio Spurs,SAS @ MIN,L,89
2021-08-09,Orlando Magic,ORL @ GSW,W,91
2021-08-09,Charlotte Hornets,CHA @ SAC,L,70
2021-08-09,Utah Jazz,UTA vs. PHX,W,63
2021-08-09,Golden State Warriors,GSW vs. ORL,L,89
2021-08-09,New York Knicks,NYK @ IND,W,94
2021-08-09,Philadelphia 76ers,PHI vs. DAL,W,95
2021-08-09,Memphis Grizzlies,MEM vs. BKN,W,91
2021-08-09,Sacramento Kings,SAC vs. CHA,W,80
2021-08-09,Brooklyn Nets,BKN @ MEM,L,84
2021-08-09,Indiana Pacers,IND vs. NYK,L,86
2021-08-09,Chicago Bulls,CHI vs. NOP,L,77
2021-08-08,New York Knicks,NYK vs. TOR,L,79
2021-08-08,Cleveland Cavaliers,CLE vs. HOU,L,76
2021-08-08,Denver Nuggets,DEN @ MIA,L,77
2021-08-08,Detroit Pistons,DET vs. OKC,L,72
2021-08-08,Los Angeles Lakers,LAL @ PHX,W,73
2021-08-08,Houston Rockets,HOU @ CLE,W,84
2021-08-08,Charlotte Hornets,CHA vs. POR,L,86
2021-08-08,Portland Trail Blazers,POR @ CHA,W,93
2021-08-08,Phoenix Suns,PHX vs. LAL,L,72
2021-08-08,Toronto Raptors,TOR @ NYK,W,89
2021-08-08,Miami Heat,MIA vs. DEN,W,97
2021-08-08,Boston Celtics,BOS @ ATL,W,85
2021-08-08,Atlanta Hawks,ATL vs. BOS,L,83
2021-08-08,Oklahoma City Thunder,OKC @ DET,W,76
2021-08-07,,CCG @ SGC,W,77
2021-08-07,,MVG vs. BCG,W,76
2021-08-07,,MVG vs. BCG,W,88
2021-08-07,,CLG @ PGT,W,94
2021-08-07,,SGC vs. CCG,L,70
2021-08-07,,WDG vs. GEN,W,79
2021-08-07,,PGT vs. CLG,L,69
2021-08-07,,BCG @ MVG,L,82
2021-08-07,,GEN @ WDG,L,56
2021-08-07,,PGT vs. CLG,W,81
2021-08-07,,BCG @ MVG,L,67
2021-08-07,,GEN @ WDG,L,67
2021-08-07,,WDG vs. GEN,W,73
2021-08-07,,CCG @ SGC,L,75
2021-08-07,,CLG @ PGT,L,78
2021-08-07,,SGC vs. CCG,W,83
2021-08-06,,BZG vs. SGC,W,89
2021-08-06,,GZG @ GEN,W,76
2021-08-06,,GZG @ GEN,L,71
2021-08-06,,GEN vs. GZG,L,74
2021-08-06,,TWG @ CLG,L,67
2021-08-06,San Antonio Spurs,SAS @ MEM,L,77
2021-08-06,Memphis Grizzlies,MEM vs. SAS,W,82
2021-08-06,Utah Jazz White,UTW vs. UTB,W,83
2021-08-06,Utah Jazz Blue,UTB @ UTW,L,65
2021-08-06,,BZG vs. SGC,W,63
2021-08-06,,CLG vs. TWG,L,73
2021-08-06,,MVG @ JZG,L,75
2021-08-06,,CLG vs. TWG,W,84
2021-08-06,,JZG vs. MVG,W,87
2021-08-06,,SGC @ BZG,L,61
2021-08-06,,SGC @ BZG,L,68
2021-08-06,,JZG vs. MVG,W,79
2021-08-06,,GEN vs. GZG,W,74
2021-08-06,,TWG @ CLG,W,76
2021-08-06,,MVG @ JZG,L,83
2021-08-05,,MGG vs. CCG,W,76
2021-08-05,,KGG @ WGS,L,67
2021-08-05,,CCG @ MGG,L,72
2021-08-05,,WGS vs. KGG,W,81
2021-08-05,,KGG @ WGS,L,66
2021-08-05,,BCG @ PGT,L,64
2021-08-05,,MGG vs. CCG,W,79
2021-08-05,,CCG @ MGG,L,70
2021-08-05,,WDG vs. KNX,W,73
2021-08-05,,WDG vs. KNX,L,72
2021-08-05,,PGT vs. BCG,W,94
2021-08-05,,WGS vs. KGG,W,71
2021-08-05,,KNX @ WDG,W,75
2021-08-05,,KNX @ WDG,L,71
2021-08-04,,KGG vs. WGS,L,70
2021-08-04,,BZG @ JZG,L,73
2021-08-04,,TWG @ KNX,W,100
2021-08-04,,WGS @ KGG,L,74
2021-08-04,,BZG @ JZG,W,88
2021-08-04,,JZG vs. BZG,W,75
2021-08-04,,KNX vs. TWG,L,76
2021-08-04,,TWG @ KNX,W,104
2021-08-04,Utah Jazz White,UTW vs. MEM,W,94
2021-08-04,,JZG vs. BZG,L,86
2021-08-04,Sacramento Kings,SAC vs. LAL,L,74
2021-08-04,Utah Jazz Blue,UTB vs. SAS,W,78
2021-08-04,,GZG vs. MGG,W,78
2021-08-04,San Antonio Spurs,SAS @ UTB,L,54
2021-08-04,Los Angeles Lakers,LAL @ SAC,W,84
2021-08-04,,GZG vs. MGG,W,70
2021-08-04,,MGG @ GZG,L,73
2021-08-04,Memphis Grizzlies,MEM @ UTW,L,75
2021-08-04,,KNX vs. TWG,L,73
2021-08-04,Miami Heat,MIA @ GSW,W,94
2021-08-04,,MGG @ GZG,L,62
2021-08-04,,WGS @ KGG,W,79
2021-08-04,Golden State Warriors,GSW vs. MIA,L,87
2021-08-04,,KGG vs. WGS,W,84
2021-08-03,Golden State Warriors,GSW @ SAC,W,89
2021-08-03,Miami Heat,MIA vs. LAL,W,80
2021-08-03,Los Angeles Lakers,LAL @ MIA,L,78
2021-08-03,Utah Jazz White,UTW vs. SAS,W,87
2021-08-03,Memphis Grizzlies,MEM @ UTB,W,104
2021-08-03,Sacramento Kings,SAC vs. GSW,L,82
2021-08-03,San Antonio Spurs,SAS @ UTW,L,58
2021-08-03,Utah Jazz Blue,UTB vs. MEM,L,65
2021-07-31,,MVG vs. PCG,L,71
2021-07-31,,GEN @ GZG,W,82
2021-07-31,,HVG @ LKG,W,74
2021-07-31,,KGG vs. HTG,L,59
2021-07-31,,LKG vs. HVG,L,71
2021-07-31,,KGG vs. HTG,W,72
2021-07-31,,LKG vs. HVG,L,57
2021-07-31,,GZG vs. GEN,L,67
2021-07-31,,GEN @ GZG,L,65
2021-07-31,,PCG @ MVG,W,81
2021-07-31,,GZG vs. GEN,W,71
2021-07-31,,HVG @ LKG,W,63
2021-07-31,,HTG @ KGG,W,65
2021-07-31,,HTG @ KGG,L,61
2021-07-30,,LKG @ BZG,L,61
2021-07-30,,BZG vs. LKG,W,81
2021-07-30,,HVG vs. HTG,W,83
2021-07-30,,RUG @ WGS,W,73
2021-07-30,,PCG vs. GZG,W,87
2021-07-30,,WGS vs. RUG,L,71
2021-07-30,,HTG @ HVG,L,80
2021-07-30,,BZG vs. LKG,W,69
2021-07-30,,GZG @ PCG,L,59
2021-07-30,,GZG @ PCG,L,65
2021-07-30,,PCG vs. GZG,W,74
2021-07-30,,LKG @ BZG,L,64
2021-07-30,,RUG @ WGS,W,81
2021-07-30,,WGS vs. RUG,L,70
2021-07-29,,KGG @ JZG,L,67
2021-07-29,,GEN vs. NGC,L,91
2021-07-29,,GEN vs. NGC,W,81
2021-07-29,,HCG vs. PGT,W,85
2021-07-29,,WDG @ MVG,W,71
2021-07-29,,PGT @ HCG,L,81
2021-07-29,,JZG vs. KGG,W,75
2021-07-29,,PGT @ HCG,L,65
2021-07-29,,NGC @ GEN,L,60
2021-07-29,,HCG vs. PGT,W,78
2021-07-29,,KGG @ JZG,L,65
2021-07-29,,JZG vs. KGG,W,82
2021-07-29,,MVG vs. WDG,L,68
2021-07-29,,NGC @ GEN,W,92
2021-07-28,,HCG vs. WDG,L,59
2021-07-28,,WDG @ HCG,W,74
2021-07-28,,HCG vs. WDG,L,50
2021-07-28,,BZG vs. WGS,L,75
2021-07-28,,JZG @ PGT,W,79
2021-07-28,,WGS @ BZG,W,77
2021-07-28,,WDG @ HCG,W,66
2021-07-28,,NGC @ RUG,L,70
2021-07-28,,NGC @ RUG,L,95
2021-07-28,,JZG @ PGT,L,76
2021-07-28,,RUG vs. NGC,W,90
2021-07-28,,PGT vs. JZG,W,78
2021-07-28,,RUG vs. NGC,W,99
2021-07-28,,BZG vs. WGS,L,62
2021-07-28,,WGS @ BZG,W,69
2021-07-28,,PGT vs. JZG,L,74
2021-07-24,,PCG @ TWG,L,69
2021-07-24,,MGG @ JZG,L,65
2021-07-24,,JZG vs. MGG,W,75
2021-07-24,,NGC vs. HCG,W,91
2021-07-24,,TWG vs. PCG,W,102
2021-07-24,,HVG vs. SGC,L,68
2021-07-24,,PCG @ TWG,L,78
2021-07-24,,TWG vs. PCG,W,79
2021-07-24,,SGC @ HVG,W,70
2021-07-24,,MGG @ JZG,L,59
2021-07-24,,HVG vs. SGC,L,71
2021-07-24,,NGC vs. HCG,W,93
2021-07-24,,HCG @ NGC,L,64
2021-07-24,,JZG vs. MGG,W,83
2021-07-24,,SGC @ HVG,W,88
2021-07-24,,HCG @ NGC,L,75
2021-07-23,,NGC vs. KNX,W,90
2021-07-23,,RUG @ SGC,L,86
2021-07-23,,LKG vs. JZG,L,59
2021-07-23,,RUG @ SGC,L,61
2021-07-23,,KNX @ NGC,W,78
2021-07-23,,NGC vs. KNX,L,67
2021-07-23,,WGS vs. CLG,L,89
2021-07-23,,KNX @ NGC,L,85
2021-07-23,,CLG @ WGS,L,71
2021-07-23,,JZG @ LKG,W,75
2021-07-23,,SGC vs. RUG,W,84
2021-07-23,,LKG vs. JZG,L,61
2021-07-23,,WGS vs. CLG,W,74
2021-07-23,,SGC vs. RUG,W,91
2021-07-23,,JZG @ LKG,W,86
2021-07-23,,CLG @ WGS,W,91
2021-07-22,,MGG @ HVG,L,75
2021-07-22,,PCG vs. BCG,W,73
2021-07-22,,PCG vs. BCG,W,82
2021-07-22,,BCG @ PCG,L,75
2021-07-22,,HVG vs. MGG,W,78
2021-07-22,,CCG @ HCG,W,72
2021-07-22,,HVG vs. MGG,W,82
2021-07-22,,MGG @ HVG,L,65
2021-07-22,,BCG @ PCG,L,71
2021-07-22,,HCG vs. CCG,L,70
2021-07-22,,HCG vs. CCG,L,61
2021-07-22,,CCG @ HCG,W,69
2021-07-22,,TWG @ HTG,W,92
2021-07-22,,HTG vs. TWG,L,73
2021-07-21,,CLG vs. BCG,L,79
2021-07-21,,HTG @ KNX,L,53
2021-07-21,,BCG @ CLG,W,83
2021-07-21,,CLG vs. BCG,W,87
2021-07-21,,RUG @ CCG,L,72
2021-07-21,,LKG @ WGS,L,64
2021-07-21,,WGS vs. LKG,W,67
2021-07-21,,BCG @ CLG,L,60
2021-07-21,,CCG vs. RUG,W,66
2021-07-21,,HTG @ KNX,L,60
2021-07-21,,WGS vs. LKG,W,66
2021-07-21,,CCG vs. RUG,W,77
2021-07-21,,KNX vs. HTG,W,79
2021-07-21,,LKG @ WGS,L,60
2021-07-21,,KNX vs. HTG,W,95
2021-07-21,,RUG @ CCG,L,59
2021-07-11,Connecticut Sun,CON @ NYL,W,71
2021-07-11,Atlanta Dream,ATL vs. IND,L,68
2021-07-11,Seattle Storm,SEA vs. PHO,W,82
2021-07-11,Indiana Fever,IND @ ATL,W,79
2021-07-11,Minnesota Lynx,MIN @ LAS,W,86
2021-07-11,Phoenix Mercury,PHO @ SEA,L,75
2021-07-11,Las Vegas Aces,LVA @ DAL,W,95
2021-07-11,Los Angeles Sparks,LAS vs. MIN,L,61
2021-07-11,New York Liberty,NYL vs. CON,L,54
2021-07-11,Dallas Wings,DAL vs. LVA,L,79
2021-07-10,,WDG @ MGG,L,61
2021-07-10,Washington Mystics,WAS @ CHI,W,89
2021-07-10,,MGG vs. WDG,L,57
2021-07-10,,KNX vs. SGC,W,81
2021-07-10,,KNX vs. SGC,W,86
2021-07-10,,TWG vs. MVG,W,78
2021-07-10,,MGG vs. WDG,W,76
2021-07-10,,RUG @ CLG,W,67
2021-07-10,,SGC @ KNX,L,62
2021-07-10,Chicago Sky,CHI vs. WAS,L,85
2021-07-10,,WDG @ MGG,W,75
2021-07-10,,CLG vs. RUG,L,82
2021-07-10,,CLG vs. RUG,L,61
2021-07-10,,MVG @ TWG,L,70
2021-07-10,,TWG vs. MVG,W,81
2021-07-10,,MVG @ TWG,L,72
2021-07-10,,RUG @ CLG,W,83
2021-07-10,,SGC @ KNX,L,84
2021-07-09,,LKG @ GEN,L,70
2021-07-09,Seattle Storm,SEA @ PHO,L,77
2021-07-09,New York Liberty,NYL @ IND,L,69
2021-07-09,,BCG vs. CCG,W,84
2021-07-09,,RUG vs. KNX,L,67
2021-07-09,,BCG vs. CCG,L,61
2021-07-09,Connecticut Sun,CON vs. ATL,W,84
2021-07-09,,GEN vs. LKG,W,88
2021-07-09,,LKG @ GEN,L,63
2021-07-09,,CCG @ BCG,W,63
2021-07-09,,KNX @ RUG,L,69
2021-07-09,Indiana Fever,IND vs. NYL,W,82
2021-07-09,,RUG vs. KNX,W,76
2021-07-09,,MGG vs. GZG,W,66
2021-07-09,,KNX @ RUG,W,72
2021-07-09,Phoenix Mercury,PHO vs. SEA,W,85
2021-07-09,,CCG @ BCG,L,66
2021-07-09,Las Vegas Aces,LVA vs. MIN,L,67
2021-07-09,,GEN vs. LKG,W,88
2021-07-09,,GZG @ MGG,L,57
2021-07-09,Atlanta Dream,ATL @ CON,L,72
2021-07-09,,MGG vs. GZG,L,73
2021-07-09,Minnesota Lynx,MIN @ LVA,W,77
2021-07-09,,GZG @ MGG,W,75
2021-07-08,,TWG vs. GEN,W,83
2021-07-08,,WDG @ PGT,W,70
2021-07-08,,KGG @ CLG,L,70
2021-07-08,,CLG vs. KGG,L,58
2021-07-08,,SGC vs. MVG,W,74
2021-07-08,,MVG @ SGC,L,53
2021-07-08,,WDG @ PGT,W,66
2021-07-08,,GEN @ TWG,L,74
2021-07-08,,SGC vs. MVG,W,71
2021-07-08,,PGT vs. WDG,L,56
2021-07-08,,CLG vs. KGG,W,76
2021-07-08,,GEN @ TWG,W,79
2021-07-08,,TWG vs. GEN,L,76
2021-07-08,,MVG @ SGC,L,66
2021-07-08,,KGG @ CLG,W,70
2021-07-08,,PGT vs. WDG,L,61
2021-07-07,,BCG vs. PGT,L,75
2021-07-07,Phoenix Mercury,PHO @ LVA,W,99
2021-07-07,,LKG vs. BZG,L,72
2021-07-07,,PGT @ BCG,W,79
2021-07-07,,KGG @ CCG,W,63
2021-07-07,,BCG vs. PGT,L,71
2021-07-07,Minnesota Lynx,MIN vs. DAL,W,85
2021-07-07,,HVG @ GZG,L,63
2021-07-07,,CCG vs. KGG,L,66
2021-07-07,Dallas Wings,DAL @ MIN,L,79
2021-07-07,Seattle Storm,SEA vs. LAS,W,71
2021-07-07,Las Vegas Aces,LVA vs. PHO,L,90
2021-07-07,,PGT @ BCG,W,77
2021-07-07,,KGG @ CCG,W,81
2021-07-07,,GZG vs. HVG,W,82
2021-07-07,,BZG @ LKG,W,85
2021-07-07,,BZG @ LKG,W,87
2021-07-07,,GZG vs. HVG,L,55
2021-07-07,,HVG @ GZG,W,60
2021-07-07,Los Angeles Sparks,LAS @ SEA,L,62
2021-07-07,,CCG vs. KGG,L,52
2021-07-07,,LKG vs. BZG,L,70
2021-07-05,New York Liberty,NYL vs. DAL,W,99
2021-07-05,Dallas Wings,DAL @ NYL,L,96
2021-07-04,Atlanta Dream,ATL @ LVA,L,95
2021-07-04,Las Vegas Aces,LVA vs. ATL,W,118
2021-07-04,Seattle Storm,SEA @ LAS,W,84
2021-07-04,Los Angeles Sparks,LAS vs. SEA,L,74
2021-07-03,New York Liberty,NYL vs. WAS,W,82
2021-07-03,Connecticut Sun,CON @ IND,L,67
2021-07-03,Minnesota Lynx,MIN @ PHO,W,99
2021-07-03,Washington Mystics,WAS @ NYL,L,79
2021-07-03,Phoenix Mercury,PHO vs. MIN,L,68
2021-07-03,Indiana Fever,IND vs. CON,W,73
2021-07-02,Dallas Wings,DAL vs. CHI,W,100
2021-07-02,Seattle Storm,SEA vs. ATL,W,91
2021-07-02,Chicago Sky,CHI @ DAL,L,91
2021-07-02,Los Angeles Sparks,LAS vs. LVA,L,58
2021-07-02,Las Vegas Aces,LVA @ LAS,W,66
2021-07-02,Atlanta Dream,ATL @ SEA,L,88
2021-07-01,Indiana Fever,IND vs. CON,L,80
2021-07-01,Connecticut Sun,CON @ IND,W,86
2021-06-30,Minnesota Lynx,MIN @ PHO,W,82
2021-06-30,Phoenix Mercury,PHO vs. MIN,L,76
2021-06-30,Las Vegas Aces,LVA @ LAS,W,99
2021-06-30,Los Angeles Sparks,LAS vs. LVA,L,75
2021-06-30,Chicago Sky,CHI @ DAL,W,91
2021-06-30,Dallas Wings,DAL vs. CHI,L,81
2021-06-29,Washington Mystics,WAS vs. CON,L,71
2021-06-29,Connecticut Sun,CON @ WAS,W,90
2021-06-29,Atlanta Dream,ATL vs. NYL,W,73
2021-06-29,New York Liberty,NYL @ ATL,L,69
2021-06-27,Los Angeles Sparks,LAS @ PHO,L,79
2021-06-27,Seattle Storm,SEA @ LVA,L,92
2021-06-27,Chicago Sky,CHI @ CON,L,58
2021-06-27,Connecticut Sun,CON vs. CHI,W,74
2021-06-27,Phoenix Mercury,PHO vs. LAS,W,88
2021-06-27,Las Vegas Aces,LVA vs. SEA,W,95
2021-06-26,,MGG vs. HTG,W,79
2021-06-26,,HTG @ MGG,L,55
2021-06-26,,JZG @ PCG,L,68
2021-06-26,,GZG vs. SGC,L,55
2021-06-26,Atlanta Dream,ATL vs. NYL,L,78
2021-06-26,,JZG @ PCG,W,87
2021-06-26,,KNX vs. CCG,L,65
2021-06-26,Washington Mystics,WAS @ DAL,L,74
2021-06-26,,CCG @ KNX,L,58
2021-06-26,Dallas Wings,DAL vs. WAS,W,85
2021-06-26,,CCG @ KNX,W,68
2021-06-26,,HTG @ MGG,L,64
2021-06-26,New York Liberty,NYL @ ATL,W,101
2021-06-26,,MGG vs. HTG,W,87
2021-06-26,,SGC @ GZG,L,61
2021-06-26,,GZG vs. SGC,W,70
2021-06-26,,KNX vs. CCG,W,86
2021-06-26,,SGC @ GZG,W,60
2021-06-26,,PCG vs. JZG,L,85
2021-06-26,,PCG vs. JZG,W,84
2021-06-25,,CCG @ NGC,L,73
2021-06-25,,WDG vs. GZG,W,73
2021-06-25,,PGT @ MVG,W,68
2021-06-25,,GZG @ WDG,L,66
2021-06-25,,KGG vs. BZG,W,78
2021-06-25,,NGC vs. CCG,W,92
2021-06-25,Minnesota Lynx,MIN vs. LVA,W,90
2021-06-25,,GZG @ WDG,L,50
2021-06-25,,KGG vs. BZG,W,86
2021-06-25,,WDG vs. GZG,W,72
2021-06-25,,NGC vs. CCG,W,85
2021-06-25,,MVG vs. PGT,W,74
2021-06-25,,BZG @ KGG,L,63
2021-06-25,Las Vegas Aces,LVA @ MIN,L,89
2021-06-25,,CCG @ NGC,L,70
2021-06-25,,PGT @ MVG,L,72
2021-06-25,,MVG vs. PGT,L,65
2021-06-25,,BZG @ KGG,L,67
2021-06-24,,KGG vs. JZG,W,69
2021-06-24,,PCG vs. PGT,W,66
2021-06-24,,TWG vs. WGS,L,67
2021-06-24,,JZG @ KGG,W,73
2021-06-24,,KNX @ GEN,L,73
2021-06-24,Indiana Fever,IND vs. DAL,L,64
2021-06-24,,GEN vs. KNX,L,76
2021-06-24,Washington Mystics,WAS @ LAS,L,82
2021-06-24,,WGS @ TWG,W,81
2021-06-24,,KGG vs. JZG,L,69
2021-06-24,,GEN vs. KNX,W,79
2021-06-24,Dallas Wings,DAL @ IND,W,89
2021-06-24,,PGT @ PCG,W,72
2021-06-24,Chicago Sky,CHI @ NYL,W,91
2021-06-24,,PGT @ PCG,L,53
2021-06-24,,JZG @ KGG,L,63
2021-06-24,,WGS @ TWG,L,79
2021-06-24,,KNX @ GEN,W,81
2021-06-24,,MGG vs. CLG,W,85
2021-06-24,Los Angeles Sparks,LAS vs. WAS,W,89
2021-06-24,,CLG @ MGG,L,63
2021-06-24,New York Liberty,NYL vs. CHI,L,68
2021-06-24,,TWG vs. WGS,W,88
2021-06-24,,MGG vs. CLG,W,68
2021-06-24,,CLG @ MGG,L,82
2021-06-24,,PCG vs. PGT,L,69
2021-06-23,,BZG @ WGS,L,59
2021-06-23,,HCG vs. GEN,W,77
2021-06-23,,WGS vs. BZG,L,59
2021-06-23,,TWG vs. CLG,L,89
2021-06-23,,BCG vs. MVG,W,81
2021-06-23,,TWG vs. CLG,L,83
2021-06-23,,BCG vs. MVG,W,75
2021-06-23,,MVG @ BCG,L,70
2021-06-23,,GEN @ HCG,L,67
2021-06-23,,CLG @ TWG,W,85
2021-06-23,,BZG @ WGS,W,83
2021-06-23,,MVG @ BCG,L,71
2021-06-23,,HCG vs. GEN,L,73
2021-06-23,,CLG @ TWG,W,92
2021-06-23,Minnesota Lynx,MIN @ ATL,W,87
2021-06-23,Atlanta Dream,ATL vs. MIN,L,85
2021-06-23,,GEN @ HCG,W,75
2021-06-23,,WGS vs. BZG,W,68
2021-06-22,Chicago Sky,CHI @ NYL,W,92
2021-06-22,Connecticut Sun,CON vs. DAL,W,80
2021-06-22,New York Liberty,NYL vs. CHI,L,72
2021-06-22,Seattle Storm,SEA vs. WAS,L,83
2021-06-22,Washington Mystics,WAS @ SEA,W,87
2021-06-22,Dallas Wings,DAL @ CON,L,70
2021-06-20,Los Angeles Sparks,LAS vs. NYL,L,73
2021-06-20,New York Liberty,NYL @ LAS,W,76
2021-06-19,,LKG vs. WGS,L,77
2021-06-19,,HVG vs. KNX,W,73
2021-06-19,,HCG @ HTG,W,71
2021-06-19,Connecticut Sun,CON @ CHI,L,81
2021-06-19,,WGS @ LKG,W,78
2021-06-19,,WGS @ LKG,L,71
2021-06-19,Indiana Fever,IND @ WAS,L,77
2021-06-19,,BZG vs. KGG,W,79
2021-06-19,,KNX @ HVG,L,68
2021-06-19,,HVG vs. KNX,L,61
2021-06-19,,KNX @ HVG,W,63
2021-06-19,,KGG @ BZG,W,71
2021-06-19,Dallas Wings,DAL vs. MIN,W,95
2021-06-19,,HCG @ HTG,W,73
2021-06-19,,BZG vs. KGG,L,53
2021-06-19,,HTG vs. HCG,L,67
2021-06-19,,LKG vs. WGS,W,75
2021-06-19,,KGG @ BZG,L,72
2021-06-19,Chicago Sky,CHI vs. CON,W,91
2021-06-19,Washington Mystics,WAS vs. IND,W,82
2021-06-19,,HTG vs. HCG,L,52
2021-06-19,Minnesota Lynx,MIN @ DAL,L,77
2021-06-18,,HVG vs. GEN,L,57
2021-06-18,,HVG vs. GEN,W,76
2021-06-18,,LKG vs. PCG,L,78
2021-06-18,,GZG vs. BZG,W,66
2021-06-18,,GEN @ HVG,L,69
2021-06-18,,BZG @ GZG,L,61
2021-06-18,Phoenix Mercury,PHO @ LAS,W,80
2021-06-18,,LKG vs. PCG,L,54
2021-06-18,,PGT @ KGG,W,74
2021-06-18,,BZG @ GZG,L,74
2021-06-18,Los Angeles Sparks,LAS vs. PHO,L,66
2021-06-18,,KGG vs. PGT,L,65
2021-06-18,,GEN @ HVG,W,70
2021-06-18,,GZG vs. BZG,W,78
2021-06-18,,PCG @ LKG,W,87
2021-06-18,,PCG @ LKG,W,94
2021-06-18,,KGG vs. PGT,L,61
2021-06-18,,PGT @ KGG,W,65
2021-06-17,,WDG vs. RUG,W,76
2021-06-17,,KNX vs. GZG,L,59
2021-06-17,,GZG @ KNX,W,69
2021-06-17,,NGC @ HTG,W,81
2021-06-17,Seattle Storm,SEA @ IND,W,79
2021-06-17,,GZG @ KNX,W,60
2021-06-17,Minnesota Lynx,MIN @ DAL,W,85
2021-06-17,Las Vegas Aces,LVA vs. NYL,W,103
2021-06-17,,KNX vs. GZG,L,65
2021-06-17,,WDG vs. RUG,W,69
2021-06-17,Washington Mystics,WAS vs. ATL,W,96
2021-06-17,,WGS @ MVG,L,50
2021-06-17,,RUG @ WDG,L,53
2021-06-17,Indiana Fever,IND vs. SEA,L,69
2021-06-17,Connecticut Sun,CON @ CHI,L,75
2021-06-17,New York Liberty,NYL @ LVA,L,76
2021-06-17,,RUG @ WDG,L,44
2021-06-17,,WGS @ MVG,W,93
2021-06-17,,MVG vs. WGS,L,62
2021-06-17,Chicago Sky,CHI vs. CON,W,81
2021-06-17,Dallas Wings,DAL vs. MIN,L,73
2021-06-17,Atlanta Dream,ATL @ WAS,L,93
2021-06-17,,HTG vs. NGC,L,70
